123.72198576463884,NaN,NaN,NaN,NaN
1488.5758938617216,0.3629029233166872,NaN,NaN,NaN
1689.8201098126906,148.34932378706122,0.3629029233166872,NaN,NaN
4366.640199543352,1528.7447103839702,44.95069110808531,0.3629029233166872,NaN
5513.80463167247,1444.2980878996848,859.4426045693746,14.28128852184803,0.3629029233166872
94.0,-1.0,-1.0,-1.0,-1.0
71.0,3.0,-1.0,-1.0,-1.0
61.0,94.0,3.0,-1.0,-1.0
61.0,81.0,94.0,3.0,-1.0
61.0,71.0,101.0,94.0,3.0
23.064684867858887,NaN,NaN,NaN,NaN
89.02278304100037,15.298849105834961,NaN,NaN,NaN
186.43116116523743,114.82406091690063,5.67475700378418,NaN,NaN
376.12318897247314,281.55893993377686,107.55939984321594,11.610978841781616,NaN
587.5030469894409,518.0985851287842,366.8081941604614,104.01021790504456,11.679769039154053
