8.363850141589282,NaN,NaN,NaN,NaN
44.13992023923275,4.9448639314417235,NaN,NaN,NaN
NaN,9.210771249822614,4.051717946618732,NaN,NaN
NaN,NaN,7.124222419814299,3.281675370180429,NaN
NaN,NaN,10.297761271463783,5.976619586842822,3.0926687325928164
48.0,-1.0,-1.0,-1.0,-1.0
95.0,6.0,-1.0,-1.0,-1.0
-1.0,88.0,7.0,-1.0,-1.0
-1.0,-1.0,9.0,8.0,-1.0
-1.0,-1.0,89.0,4.0,4.0
533.5365719795227,NaN,NaN,NaN,NaN
10303.99278998375,115.92890787124634,NaN,NaN,NaN
NaN,4909.990085840225,39.55978798866272,NaN,NaN
NaN,NaN,2668.365063905716,27.253121852874756,NaN
NaN,NaN,25544.466315984726,1090.5996599197388,37.48747801780701
