4.64,NaN,NaN,NaN,NaN
1001.0,3.146,NaN,NaN,NaN
1264.0,534.8,1.475,NaN,NaN
2351.0,1550.0,155.2,0.9423,NaN
2522.0,1100.0,635.1,6.196,0.7672
97.0,-1.0,-1.0,-1.0,-1.0
89.0,97.0,-1.0,-1.0,-1.0
49.0,100.0,101.0,-1.0,-1.0
36.0,60.0,100.0,101.0,-1.0
36.0,56.0,101.0,100.0,3.0
0.057,NaN,NaN,NaN,NaN
0.13,0.057,NaN,NaN,NaN
0.17,0.17,0.06,NaN,NaN
0.26,0.33,0.26,0.097,NaN
0.58,0.76,0.88,0.42,0.22
