1.5065	Inf	Inf	Inf	Inf	Inf
1.5065	1.5065	Inf	Inf	Inf	Inf
3.8844	1.5065	1.5065	Inf	Inf	Inf
6.0734	3.8844	1.5065	1.5065	Inf	Inf
7.996	6.0734	3.8844	1.5065	1.5065	Inf
9.6566	7.996	6.0734	3.8844	1.5065	1.5065
